review_id,rating_date,review_year,review_month,employee_status,employee_type,employee_length,employee_location,job_title_bucket,flags_business_outlook,flags_ceo_approval,flags_recommend_friend,rating_overall,rating_work_life,rating_compensation_benefits,rating_senior_leadership,rating_career_opportunities,rating_culture_values,rating_diversity_inclusion,summary_cleaned,advice_to_management_cleaned,review_pros_cleaned,review_cons_cleaned,pros_polarity,pros_subjectivity,cons_polarity,cons_subjectivity,pros_sentiment_label,cons_sentiment_label
74,2025-02-07,2025,2025-02,Regular,Former Employees,2,"Brampton, ON",Associate,Positive,Approve,Positive,5,4,4,4,4,4,4,good salary difficult targets,listen employees,provide healthy salary every six months salary hike good benefits,ask difficult targets internal politics still exist,0.6,0.55,-0.25,0.5,positive,negative
75,2025-02-06,2025,2025-02,Part Time,Current Employees,4,"Delta, BC",Associate,Positive,Approve,Positive,4,5,5,4,5,4,5,amazon job,,good schedule good pay,heavy work load long shifts,0.7,0.6,-0.125,0.45,positive,negative
76,2025-02-06,2025,2025-02,Contract,"Current Employee, Less Than 1 Year",1,"Gateshead, England",Associate,Neutral,Approve,Positive,5,5,5,5,5,5,5,best pay rate,,good management best work culture nice colleagues,shift patterns break timings team leads,0.7666666667,0.6333333333,0,0,positive,neutral
77,2025-02-04,2025,2025-02,Regular,Current Employees,4,"Delta, BC",Associate,Negative,Disapprove,Negative,1,1,4,1,1,1,2,hard pass,focus taking care people driving productivity acknowledge successful,job paid bills makes really appreciate working somewhere else,cared increasing productivity not people whoever coined equality opportunity employees needs look definition save physical mental well look employment elsewhere,0.2,0.2,-0.05,0.1714285714,positive,neutral
78,2025-02-03,2025,2025-02,Regular,Current Employee,0,"Boston, MA","Management, IT, RME, HR",No Response,No Response,No Response,4,3,4,4,4,4,4,not technical job,,want smooth start work think good idea,internal promotion bit difficult may take long time,0.55,0.55,-0.1833333333,0.4666666667,positive,negative
79,2025-01-28,2025,2025-01,Part Time,Current Employee,0,El Prat de Llobregat,"Management, IT, RME, HR",No Response,No Response,No Response,4,4,4,4,4,4,4,sueldo base amazon tecnico rme,,horario flexible muchos pluses en fin de semana,el metro tarda mucho en llegar al prat,0,0,0,0,neutral,neutral
80,2025-01-28,2025,2025-01,Regular,Former Employees,2,"Chattanooga, TN",Picker/Packer,No Response,No Response,No Response,4,0,0,0,0,0,0,good beginner job,,job not hard people friendly helpful,hour work days busy times,0.2604166667,0.5208333333,0.1,0.3,positive,neutral
81,2025-01-23,2025,2025-01,Regular,Former Employees,4,"Mississauga, ON","Management, IT, RME, HR",Negative,Approve,Positive,2,1,3,2,2,2,3,great benefits sign deteriorate rapidly first year,,fast paced challenging great learning opportunities great overall benefits day,hectic hours little flexibility pay structure call culture leads internal fights show better,0.46,0.62,0.1041666667,0.3333333333,positive,positive
82,2025-01-17,2025,2025-01,Regular,Former Employee,0,Unknown,"Management, IT, RME, HR",Neutral,No Opinion,Positive,3,3,3,2,1,2,4,deal good job,,simple not complicated,high expectations comes petty drama,0.125,0.6785714286,0.16,0.54,positive,positive
83,2025-01-16,2025,2025-01,Part Time,"Current Employee, Less Than 1 Year",1,Euskirchen,"Management, IT, RME, HR",No Response,No Response,No Response,5,0,0,0,0,0,0,amazing,,gute leitungen gute mitarbeitern gute arbeit,es gibt keine kontras fur der arbeit,0,0,0,0,neutral,neutral
